x3,y3,z3,TRUTH
43.7757,17.5211,-139.4522,4
43.7756,17.5037,-139.4663,4
43.7758,17.4806,-139.4829,4
43.7736,17.4368,-139.5186,4
43.7633,17.3996,-139.5358,4
43.7554,17.3813,-139.5643,4
43.7529,17.3545,-139.597,4
43.7718,17.3341,-139.6409,4
43.7626,17.3328,-139.6676,4
43.7649,17.2948,-139.7002,4
43.7565,17.2345,-139.707,4
43.739,17.199,-139.7761,4
43.7351,17.1463,-139.828,4
43.727,17.1092,-139.8411,4
43.7422,17.1236,-139.8564,4
43.7366,17.1405,-139.8476,4
43.7284,17.1199,-139.8936,4
43.7126,17.1544,-139.9087,4
43.7038,17.1662,-139.9076,4
43.6965,17.1722,-139.9104,4
43.6792,17.1601,-139.9174,4
43.6718,17.1522,-139.9367,4
43.6694,17.1193,-139.9629,4
43.6565,17.0997,-139.9754,4
43.6391,17.0697,-139.9837,4
43.6122,17.0455,-140.0035,4
43.5989,17.0085,-140.0279,4
43.5888,16.9952,-140.0455,4
43.5953,16.9294,-140.0911,4
43.5781,16.8987,-140.0769,4
43.5607,16.8505,-140.1131,4
43.5525,16.7964,-140.1743,4
43.5361,16.77,-140.2256,4
43.5331,16.776,-140.2669,4
43.5275,16.7708,-140.3068,4
43.4927,16.7238,-140.3415,4
43.4803,16.7546,-140.3542,4
43.4881,16.756,-140.432,4
43.4915,16.7593,-140.4945,4
43.5003,16.7535,-140.5587,4
43.4833,16.7451,-140.5776,4
43.4733,16.7188,-140.6041,4
43.4972,16.7254,-140.6505,4
43.5164,16.7265,-140.6864,4
43.5267,16.7274,-140.701,4
43.5174,16.725,-140.6977,4
43.5399,16.7111,-140.7056,4
43.5352,16.7152,-140.7351,4
43.524,16.725,-140.7337,4
43.518,16.7209,-140.7518,4
43.5069,16.711,-140.7431,4
43.4951,16.713,-140.7284,4
43.4654,16.711,-140.733,4
43.4401,16.6701,-140.7673,4
43.4117,16.6255,-140.7931,4
43.3812,16.5962,-140.7829,4
43.3597,16.5803,-140.8073,4
43.369,16.5911,-140.8348,4
43.3821,16.5413,-140.8734,4
43.3871,16.5233,-140.9044,4
43.378,16.4782,-140.9401,4
43.4021,16.4628,-140.9654,4
43.4172,16.4725,-141.0087,4
43.4333,16.4895,-141.043,4
43.4324,16.5297,-141.0093,4
43.4439,16.5814,-140.9931,4
43.4366,16.5684,-141.0495,4
43.4271,16.5973,-141.0575,4
43.4158,16.6284,-141.084,4
43.4236,16.6103,-141.1069,4
43.4425,16.5949,-141.1645,4
43.4617,16.5262,-141.2522,4
43.4644,16.4262,-141.3184,4
43.4774,16.3743,-141.3663,4
43.4917,16.359,-141.4124,4
43.4991,16.3461,-141.4704,4
43.5165,16.3436,-141.5042,4
43.5148,16.3662,-141.5273,4
43.5191,16.3797,-141.5451,4
43.5074,16.4081,-141.5643,4
43.4965,16.4692,-141.5526,4
43.4747,16.4352,-141.5854,4
43.4524,16.4425,-141.5754,4
43.4131,16.3903,-141.5835,4
43.3793,16.35,-141.6553,4
43.3512,16.3044,-141.6868,4
43.3334,16.2433,-141.7363,4
43.319,16.1788,-141.7874,4
43.3067,16.1562,-141.8472,4
43.3054,16.1499,-141.8867,4
43.2865,16.1362,-141.9033,4
43.2758,16.1585,-141.9496,4
43.2647,16.0787,-141.9813,4
43.2603,16.0121,-141.9986,4
43.2466,15.9732,-142.0593,4
43.2339,15.9494,-142.0901,4
43.2156,15.8684,-142.124,4
43.2067,15.778,-142.1655,4
43.2109,15.7035,-142.2684,4
43.2067,15.6335,-142.2943,4
43.1903,15.5678,-142.3394,4
43.1724,15.5142,-142.3212,4
43.1666,15.4867,-142.3063,4
43.1411,15.5124,-142.3209,4
43.1187,15.5034,-142.3608,4
43.0782,15.461,-142.3631,4
43.0759,15.462,-142.4107,4
43.0655,15.4216,-142.4641,4
43.0669,15.4361,-142.5085,4
43.0555,15.4476,-142.5521,4
43.0838,15.4869,-142.603,4
43.109,15.5189,-142.6164,4
43.1218,15.5021,-142.6304,4
43.1448,15.5086,-142.6566,4
43.1576,15.5538,-142.6886,4
43.1703,15.6003,-142.6835,4
43.1703,15.6003,-142.6835,4
43.1703,15.6003,-142.6835,4
43.1668,15.6009,-142.6638,4
43.1642,15.6037,-142.6546,4
43.1776,15.6289,-142.6432,4
43.1849,15.6281,-142.6107,4
43.1901,15.6523,-142.5921,4
43.2128,15.666,-142.5965,4
43.2341,15.6259,-142.6181,4
43.2406,15.6177,-142.6428,4
43.2417,15.6115,-142.6411,4
43.2282,15.5737,-142.5905,4
43.2222,15.5188,-142.5488,4
43.199,15.5518,-142.5315,4
43.1912,15.5773,-142.5187,4
43.1828,15.5645,-142.5314,4
43.1778,15.5716,-142.5426,4
43.1871,15.5684,-142.5779,4
43.1798,15.5928,-142.6535,4
43.1984,15.6044,-142.6971,4
43.2003,15.6371,-142.7417,4
43.2193,15.5933,-142.7475,4
43.2139,15.5663,-142.7758,4
43.2188,15.5259,-142.7849,4
43.2192,15.5093,-142.7673,4
43.2463,15.5152,-142.7881,4
43.2529,15.5386,-142.7895,4
43.2633,15.5411,-142.8078,4
43.2685,15.5284,-142.8157,4
43.2671,15.5242,-142.825,4
43.2874,15.5588,-142.8481,4
43.2769,15.586,-142.8165,3
43.268,15.5826,-142.8248,3
43.2655,15.577,-142.8473,3
43.2586,15.5491,-142.8748,3
43.2328,15.4891,-142.8857,3
43.213,15.4222,-142.9183,3
43.1621,15.357,-142.9132,3
43.145,15.284,-142.9263,3
43.1309,15.2711,-142.9402,4
43.1097,15.2377,-142.9591,4
43.0966,15.2441,-142.9396,4
43.0889,15.2774,-142.8969,4
43.107,15.3,-142.9096,4
43.1063,15.3071,-142.913,4
43.1307,15.3271,-142.9521,4
43.1311,15.353,-142.9815,4
43.1581,15.3693,-143.0273,4
43.163,15.418,-142.9724,4
43.171,15.4584,-142.9368,3
43.1888,15.4819,-142.9117,3
43.2076,15.4906,-142.9388,3
43.2231,15.5062,-142.9558,3
43.2193,15.5032,-142.9434,3
43.2204,15.4962,-142.941,3
43.2006,15.4854,-142.9138,3
43.1802,15.454,-142.9225,3
43.1515,15.3982,-142.9363,3
43.0786,15.2726,-142.9671,3
43.0273,15.1615,-142.9882,3
42.9792,15.0722,-143.0064,3
42.9709,15.0226,-143.0105,4
42.9769,15.0376,-143.0239,4
42.9956,15.1094,-143.0061,4
43.0347,15.1767,-142.9668,4
43.0614,15.2304,-142.9686,4
43.1043,15.278,-142.9669,4
43.1428,15.3015,-142.9828,3
43.1811,15.3851,-142.9591,4
43.2215,15.4338,-142.9761,3
43.2692,15.5166,-142.9761,3
43.2999,15.5527,-142.9932,4
43.303,15.5627,-143.0003,4
43.318,15.5972,-143.0067,3
43.317,15.6249,-143.0128,3
43.3164,15.655,-142.9911,3
43.3124,15.6532,-142.9916,3
43.2766,15.612,-142.9941,3
43.2604,15.5812,-143.004,3
43.2344,15.5023,-143.0663,3
43.2123,15.4609,-143.1469,3
43.1988,15.4152,-143.2061,3
43.1729,15.399,-143.2479,3
43.1655,15.3879,-143.2306,3
43.1518,15.3257,-143.2445,3
43.1312,15.3126,-143.2652,3
43.1366,15.3271,-143.3008,3
43.1223,15.2935,-143.2941,3
43.1314,15.28,-143.2691,3
43.1345,15.2948,-143.2866,3
43.1302,15.3019,-143.3279,3
