x,y,z,mydata.TRUTH
21.3213,43.4177,-141.1033,4
21.3367,43.421,-141.0922,4
21.3508,43.4372,-141.0688,4
21.3189,43.4282,-141.0065,4
21.3117,43.4153,-140.9873,4
21.2819,43.394,-140.9793,4
21.2146,43.3699,-140.9635,4
21.2322,43.3571,-140.9454,4
21.2633,43.3826,-141.026,4
21.2863,43.4005,-141.0721,4
21.3064,43.4247,-141.1064,4
21.3278,43.4383,-141.1455,4
21.3267,43.4516,-141.1873,4
21.3466,43.4668,-141.22,4
21.3794,43.4816,-141.2898,4
21.403,43.5332,-141.3779,4
21.459,43.5541,-141.3862,4
21.4902,43.5622,-141.3701,4
21.5293,43.561,-141.3274,4
21.5405,43.5442,-141.3185,4
21.5103,43.5147,-141.2927,4
21.4731,43.4891,-141.282,4
21.4177,43.4576,-141.3139,4
21.3898,43.4323,-141.3457,4
21.3929,43.4233,-141.3413,4
21.3862,43.4178,-141.3296,4
21.4301,43.4326,-141.345,4
21.4267,43.4349,-141.3693,4
21.4356,43.4467,-141.397,5
21.444,43.456,-141.4179,5
21.4711,43.455,-141.4129,5
21.4861,43.4412,-141.4362,5
21.4634,43.4286,-141.4413,5
21.4507,43.4004,-141.4495,5
21.4222,43.3734,-141.4724,5
21.4025,43.3376,-141.5239,5
21.3816,43.3194,-141.5654,5
21.3586,43.2896,-141.6045,5
21.3319,43.2931,-141.675,5
21.3083,43.2633,-141.7137,4
21.2938,43.2487,-141.8027,4
21.2484,43.2534,-141.8816,4
21.201,43.2447,-141.9413,4
21.2004,43.249,-142.0038,4
21.1757,43.2475,-142.0291,4
21.1622,43.2352,-142.0642,4
21.1567,43.2166,-142.1003,4
21.1411,43.1935,-142.1292,4
21.0785,43.1798,-142.1256,4
21.0299,43.1503,-142.138,4
21.0032,43.121,-142.1355,4
21.0096,43.1164,-142.1523,4
21.0082,43.1157,-142.1841,4
20.9931,43.0999,-142.1625,4
20.959,43.1026,-142.1792,4
20.971,43.1087,-142.2225,4
20.9487,43.1173,-142.245,4
20.9729,43.1485,-142.2738,4
20.968,43.1314,-142.218,4
20.9642,43.0901,-142.1849,4
20.9307,43.0548,-142.1806,4
20.8736,43.0182,-142.1557,4
20.8231,42.9894,-142.1667,4
20.8088,42.9548,-142.1345,4
20.7985,42.9313,-142.0878,4
20.7899,42.9095,-142.0571,4
20.7811,42.8919,-142.0418,4
20.7865,42.8755,-142.0647,4
20.7812,42.8713,-142.0924,4
20.7889,42.8597,-142.0969,4
20.7653,42.8448,-142.0876,4
20.7694,42.854,-142.157,4
20.8077,42.8597,-142.2269,4
20.8115,42.8813,-142.2561,4
20.8156,42.8738,-142.2936,4
20.8267,42.863,-142.2965,4
20.8236,42.8685,-142.2806,4
20.7995,42.865,-142.2739,4
20.8067,42.8802,-142.3011,4
20.7967,42.888,-142.329,4
20.794,42.9122,-142.3758,4
20.7488,42.9082,-142.3644,4
20.7594,42.9106,-142.3619,4
20.7554,42.9107,-142.3637,4
20.7281,42.9226,-142.366,4
20.7518,42.9371,-142.3397,4
20.7407,42.9506,-142.3384,4
20.7633,42.953,-142.4207,4
20.773,42.9772,-142.4874,4
20.776,42.9903,-142.6021,4
20.7934,43.0082,-142.6642,4
20.7835,43.0116,-142.6803,4
20.7404,43.0122,-142.712,4
