z,x,y,z,y,TRUTH,,,
-145.0751,20.8769,43.2832,2,3,4,,,
-145.0668,20.8674,43.2874,2,3,4,,,
-145.07,20.8239,43.318,2,3,4,,,
-145.0981,20.8388,43.3639,2,3,4,,,
-145.1204,20.8607,43.4162,2,3,4,,,
-145.1696,20.9193,43.4778,2,3,4,,,
-145.1872,20.9204,43.5281,2,3,4,,,
-145.2073,20.939,43.5737,2,4,4,,,
-145.2362,20.9494,43.5958,2,4,4,,,
-145.2401,20.9836,43.6255,2,4,4,,,
-145.2384,20.9831,43.657,2,4,4,,,
-145.2144,20.9882,43.6678,2,4,4,,,
-145.2157,20.9985,43.6827,2,4,4,,,
-145.2514,21.0219,43.7088,2,4,4,,,
-145.2534,21.0128,43.7258,2,4,4,,,
-145.2547,21.0182,43.7389,2,4,4,,,
-145.3053,21.0318,43.7741,2,4,4,,,
-145.3395,21.0753,43.7855,2,4,4,,,
-145.2768,21.1455,43.7921,2,4,4,,,
-145.2321,21.213,43.7906,2,4,4,,,
-145.2242,21.2287,43.7528,2,4,4,,,
-145.277,21.1792,43.7199,2,4,4,,,
-145.3485,21.1031,43.6937,2,4,4,,,
-145.3815,21.0753,43.6536,2,4,4,,,
-145.4381,21.0101,43.593,2,4,4,,,
-145.5052,20.9275,43.539,2,3,4,,,
-145.5881,20.8444,43.4873,2,3,4,,,
-145.6009,20.7747,43.4302,2,3,5,,,
-145.6748,20.7281,43.4006,2,3,5,,,
-145.6865,20.6429,43.3628,2,3,5,,,
-145.7675,20.6091,43.3235,2,3,5,,,
-145.8257,20.5301,43.3182,2,3,5,,,
-145.8785,20.3927,43.2832,2,3,5,,,
-145.9174,20.3498,43.253,2,3,5,,,
-145.9294,20.2558,43.236,2,3,5,,,
-145.9593,20.1799,43.2276,2,3,5,,,
-146.0233,20.0875,43.2402,2,3,5,,,
-146.0309,20.0675,43.2505,2,3,5,,,
-146.0657,20.0452,43.2766,2,3,5,,,
-146.1128,20.0383,43.3116,2,3,5,,,
